"","carnivore Obs.","carnivore Crit.","herbivore Obs.","herbivore Crit.","omnivore Obs.","omnivore Crit."
"1-2","\(\mathbf{198.00}\)","\(\mathbf{99.00}\)","\(\mathbf{195.00}\)","\(\mathbf{113.00}\)","68.00","113.00"
"1-3","72.00","99.00","\(\mathbf{258.00}\)","\(\mathbf{113.00}\)","\(\mathbf{373.00}\)","\(\mathbf{113.00}\)"
"1-4","\(\mathbf{297.00}\)","\(\mathbf{99.00}\)","\(\mathbf{305.00}\)","\(\mathbf{113.00}\)","\(\mathbf{346.00}\)","\(\mathbf{113.00}\)"
"1-5","\(\mathbf{140.00}\)","\(\mathbf{99.00}\)","79.00","113.00","\(\mathbf{439.00}\)","\(\mathbf{113.00}\)"
"1-6","80.00","99.00","\(\mathbf{388.00}\)","\(\mathbf{113.00}\)","\(\mathbf{717.00}\)","\(\mathbf{113.00}\)"
"1-7","\(\mathbf{419.00}\)","\(\mathbf{99.00}\)","\(\mathbf{130.00}\)","\(\mathbf{113.00}\)","\(\mathbf{324.00}\)","\(\mathbf{113.00}\)"
"1-8",NA,NA,"\(\mathbf{459.00}\)","\(\mathbf{113.00}\)","\(\mathbf{775.00}\)","\(\mathbf{113.00}\)"
"2-3","\(\mathbf{270.00}\)","\(\mathbf{99.00}\)","\(\mathbf{454.00}\)","\(\mathbf{113.00}\)","\(\mathbf{305.00}\)","\(\mathbf{113.00}\)"
"2-4","\(\mathbf{494.00}\)","\(\mathbf{99.00}\)","110.00","113.00","\(\mathbf{278.00}\)","\(\mathbf{113.00}\)"
"2-5","57.00","99.00","\(\mathbf{274.00}\)","\(\mathbf{113.00}\)","\(\mathbf{371.00}\)","\(\mathbf{113.00}\)"
"2-6","\(\mathbf{118.00}\)","\(\mathbf{99.00}\)","\(\mathbf{583.00}\)","\(\mathbf{113.00}\)","\(\mathbf{649.00}\)","\(\mathbf{113.00}\)"
"2-7","\(\mathbf{616.00}\)","\(\mathbf{99.00}\)","65.00","113.00","\(\mathbf{256.00}\)","\(\mathbf{113.00}\)"
"2-8",NA,NA,"\(\mathbf{654.00}\)","\(\mathbf{113.00}\)","\(\mathbf{707.00}\)","\(\mathbf{113.00}\)"
"3-4","\(\mathbf{225.00}\)","\(\mathbf{99.00}\)","\(\mathbf{563.00}\)","\(\mathbf{113.00}\)","27.00","113.00"
"3-5","\(\mathbf{213.00}\)","\(\mathbf{99.00}\)","\(\mathbf{180.00}\)","\(\mathbf{113.00}\)","66.00","113.00"
"3-6","\(\mathbf{152.00}\)","\(\mathbf{99.00}\)","\(\mathbf{130.00}\)","\(\mathbf{113.00}\)","\(\mathbf{344.00}\)","\(\mathbf{113.00}\)"
"3-7","\(\mathbf{347.00}\)","\(\mathbf{99.00}\)","\(\mathbf{388.00}\)","\(\mathbf{113.00}\)","49.00","113.00"
"3-8",NA,NA,"\(\mathbf{200.00}\)","\(\mathbf{113.00}\)","\(\mathbf{402.00}\)","\(\mathbf{113.00}\)"
"4-5","\(\mathbf{437.00}\)","\(\mathbf{99.00}\)","\(\mathbf{384.00}\)","\(\mathbf{113.00}\)","93.00","113.00"
"4-6","\(\mathbf{377.00}\)","\(\mathbf{99.00}\)","\(\mathbf{693.00}\)","\(\mathbf{113.00}\)","\(\mathbf{371.00}\)","\(\mathbf{113.00}\)"
"4-7","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)","\(\mathbf{175.00}\)","\(\mathbf{113.00}\)","22.00","113.00"
"4-8",NA,NA,"\(\mathbf{764.00}\)","\(\mathbf{113.00}\)","\(\mathbf{429.00}\)","\(\mathbf{113.00}\)"
"5-6","61.00","99.00","\(\mathbf{309.00}\)","\(\mathbf{113.00}\)","\(\mathbf{278.00}\)","\(\mathbf{113.00}\)"
"5-7","\(\mathbf{559.00}\)","\(\mathbf{99.00}\)","\(\mathbf{208.00}\)","\(\mathbf{113.00}\)","\(\mathbf{115.00}\)","\(\mathbf{113.00}\)"
"5-8",NA,NA,"\(\mathbf{380.00}\)","\(\mathbf{113.00}\)","\(\mathbf{336.00}\)","\(\mathbf{113.00}\)"
"6-7","\(\mathbf{499.00}\)","\(\mathbf{99.00}\)","\(\mathbf{518.00}\)","\(\mathbf{113.00}\)","\(\mathbf{393.00}\)","\(\mathbf{113.00}\)"
"6-8",NA,NA,"71.00","113.00","58.00","113.00"
"7-8",NA,NA,"\(\mathbf{588.00}\)","\(\mathbf{113.00}\)","\(\mathbf{451.00}\)","\(\mathbf{113.00}\)"
