"","autotroph Obs.","autotroph Crit.","carnivore Obs.","carnivore Crit.","herbivore Obs.","herbivore Crit.","omnivore Obs.","omnivore Crit."
"1-2","8","113","10","99","50","113","61","113"
"1-3","18","113","1","99","40","113","\textbf{128}","\textbf{113}"
"1-4","41","113","\textbf{371}","\textbf{99}","\textbf{118}","\textbf{113}","\textbf{469}","\textbf{113}"
"1-5","23","113","37","99","59","113","\textbf{141}","\textbf{113}"
"1-6","40","113","\textbf{374}","\textbf{99}","\textbf{122}","\textbf{113}","\textbf{508}","\textbf{113}"
"1-7","72","113","\textbf{556}","\textbf{99}","\textbf{136}","\textbf{113}","\textbf{597}","\textbf{113}"
"1-8","76","113",NA,NA,"73","113","\textbf{607}","\textbf{113}"
"2-3","26","113","11","99","10","113","67","113"
"2-4","49","113","\textbf{381}","\textbf{99}","68","113","\textbf{408}","\textbf{113}"
"2-5","31","113","47","99","109","113","80","113"
"2-6","48","113","\textbf{384}","\textbf{99}","72","113","\textbf{447}","\textbf{113}"
"2-7","80","113","\textbf{566}","\textbf{99}","86","113","\textbf{536}","\textbf{113}"
"2-8","84","113",NA,NA,"23","113","\textbf{546}","\textbf{113}"
"3-4","23","113","\textbf{370}","\textbf{99}","78","113","\textbf{341}","\textbf{113}"
"3-5","5","113","36","99","99","113","14","113"
"3-6","22","113","\textbf{373}","\textbf{99}","82","113","\textbf{380}","\textbf{113}"
"3-7","54","113","\textbf{555}","\textbf{99}","96","113","\textbf{469}","\textbf{113}"
"3-8","58","113",NA,NA,"33","113","\textbf{479}","\textbf{113}"
"4-5","18","113","\textbf{334}","\textbf{99}","\textbf{177}","\textbf{113}","\textbf{327}","\textbf{113}"
"4-6","1","113","3","99","3","113","39","113"
"4-7","31","113","\textbf{185}","\textbf{99}","18","113","\textbf{128}","\textbf{113}"
"4-8","35","113",NA,NA,"45","113","\textbf{138}","\textbf{113}"
"5-6","16","113","\textbf{337}","\textbf{99}","\textbf{180}","\textbf{113}","\textbf{366}","\textbf{113}"
"5-7","49","113","\textbf{519}","\textbf{99}","\textbf{194}","\textbf{113}","\textbf{455}","\textbf{113}"
"5-8","52","113",NA,NA,"\textbf{132}","\textbf{113}","\textbf{465}","\textbf{113}"
"6-7","32","113","\textbf{182}","\textbf{99}","14","113","89","113"
"6-8","36","113",NA,NA,"49","113","99","113"
"7-8","4","113",NA,NA,"63","113","10","113"
