"","Obs.","Crit."
"1-2","\(\mathbf{244.00}\)","\(\mathbf{99.00}\)"
"1-3","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)"
"1-4","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)"
"1-5","\(\mathbf{366.00}\)","\(\mathbf{99.00}\)"
"1-6","\(\mathbf{366.00}\)","\(\mathbf{99.00}\)"
"1-7","\(\mathbf{244.00}\)","\(\mathbf{99.00}\)"
"1-8",NA,NA
"2-3","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)"
"2-4","\(\mathbf{366.00}\)","\(\mathbf{99.00}\)"
"2-5","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)"
"2-6","\(\mathbf{610.00}\)","\(\mathbf{99.00}\)"
"2-7","\(\mathbf{488.00}\)","\(\mathbf{99.00}\)"
"2-8",NA,NA
"3-4","\(\mathbf{244.00}\)","\(\mathbf{99.00}\)"
"3-5","\(\mathbf{244.00}\)","\(\mathbf{99.00}\)"
"3-6","\(\mathbf{488.00}\)","\(\mathbf{99.00}\)"
"3-7","\(\mathbf{366.00}\)","\(\mathbf{99.00}\)"
"3-8",NA,NA
"4-5","\(\mathbf{488.00}\)","\(\mathbf{99.00}\)"
"4-6","\(\mathbf{244.00}\)","\(\mathbf{99.00}\)"
"4-7","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)"
"4-8",NA,NA
"5-6","\(\mathbf{732.00}\)","\(\mathbf{99.00}\)"
"5-7","\(\mathbf{610.00}\)","\(\mathbf{99.00}\)"
"5-8",NA,NA
"6-7","\(\mathbf{122.00}\)","\(\mathbf{99.00}\)"
"6-8",NA,NA
"7-8",NA,NA
