"","obs.dif","critical.dif"
"1-2","66.4262295081967","112.74331037508"
"1-3","\textbf{212.893442622951}","\textbf{112.74331037508}"
"1-4","\textbf{116.434426229508}","\textbf{112.74331037508}"
"1-5","\textbf{182.090163934426}","\textbf{112.74331037508}"
"1-6","\textbf{161.106557377049}","\textbf{112.74331037508}"
"1-7","\textbf{429.459016393443}","\textbf{112.74331037508}"
"1-8","\textbf{397.098360655738}","\textbf{112.74331037508}"
"2-3","\textbf{146.467213114754}","\textbf{112.74331037508}"
"2-4","50.0081967213115","112.74331037508"
"2-5","\textbf{115.66393442623}","\textbf{112.74331037508}"
"2-6","94.6803278688525","112.74331037508"
"2-7","\textbf{363.032786885246}","\textbf{112.74331037508}"
"2-8","\textbf{330.672131147541}","\textbf{112.74331037508}"
"3-4","96.4590163934427","112.74331037508"
"3-5","30.8032786885246","112.74331037508"
"3-6","51.7868852459017","112.74331037508"
"3-7","\textbf{216.565573770492}","\textbf{112.74331037508}"
"3-8","\textbf{184.204918032787}","\textbf{112.74331037508}"
"4-5","65.6557377049181","112.74331037508"
"4-6","44.672131147541","112.74331037508"
"4-7","\textbf{313.024590163934}","\textbf{112.74331037508}"
"4-8","\textbf{280.66393442623}","\textbf{112.74331037508}"
"5-6","20.9836065573771","112.74331037508"
"5-7","\textbf{247.368852459016}","\textbf{112.74331037508}"
"5-8","\textbf{215.008196721311}","\textbf{112.74331037508}"
"6-7","\textbf{268.352459016393}","\textbf{112.74331037508}"
"6-8","\textbf{235.991803278689}","\textbf{112.74331037508}"
"7-8","32.3606557377049","112.74331037508"
