"","obs.dif","critical.dif"
"1-2","\textbf{197.631147540984}","\textbf{98.6576086553021}"
"1-3","72.2622950819672","98.6576086553021"
"1-4","\textbf{296.852459016393}","\textbf{98.6576086553021}"
"1-5","\textbf{140.483606557377}","\textbf{98.6576086553021}"
"1-6","79.8852459016394","98.6576086553021"
"1-7","\textbf{418.852459016393}","\textbf{98.6576086553021}"
"1-8",NA,NA
"2-3","\textbf{269.893442622951}","\textbf{98.6576086553021}"
"2-4","\textbf{494.483606557377}","\textbf{98.6576086553021}"
"2-5","57.1475409836065","98.6576086553021"
"2-6","\textbf{117.745901639344}","\textbf{98.6576086553021}"
"2-7","\textbf{616.483606557377}","\textbf{98.6576086553021}"
"2-8",NA,NA
"3-4","\textbf{224.590163934426}","\textbf{98.6576086553021}"
"3-5","\textbf{212.745901639344}","\textbf{98.6576086553021}"
"3-6","\textbf{152.147540983607}","\textbf{98.6576086553021}"
"3-7","\textbf{346.590163934426}","\textbf{98.6576086553021}"
"3-8",NA,NA
"4-5","\textbf{437.33606557377}","\textbf{98.6576086553021}"
"4-6","\textbf{376.737704918033}","\textbf{98.6576086553021}"
"4-7","\textbf{122}","\textbf{98.6576086553021}"
"4-8",NA,NA
"5-6","60.5983606557377","98.6576086553021"
"5-7","\textbf{559.33606557377}","\textbf{98.6576086553021}"
"5-8",NA,NA
"6-7","\textbf{498.737704918033}","\textbf{98.6576086553021}"
"6-8",NA,NA
"7-8",NA,NA
