"","Obs.","Crit."
"1-2","\(\mathbf{223.00}\)","\(\mathbf{113.00}\)"
"1-3","106.00","113.00"
"1-4","\(\mathbf{636.00}\)","\(\mathbf{113.00}\)"
"1-5","87.00","113.00"
"1-6","\(\mathbf{438.00}\)","\(\mathbf{113.00}\)"
"1-7","\(\mathbf{676.00}\)","\(\mathbf{113.00}\)"
"1-8","\(\mathbf{372.00}\)","\(\mathbf{113.00}\)"
"2-3","\(\mathbf{329.00}\)","\(\mathbf{113.00}\)"
"2-4","\(\mathbf{412.00}\)","\(\mathbf{113.00}\)"
"2-5","\(\mathbf{136.00}\)","\(\mathbf{113.00}\)"
"2-6","\(\mathbf{215.00}\)","\(\mathbf{113.00}\)"
"2-7","\(\mathbf{452.00}\)","\(\mathbf{113.00}\)"
"2-8","\(\mathbf{149.00}\)","\(\mathbf{113.00}\)"
"3-4","\(\mathbf{741.00}\)","\(\mathbf{113.00}\)"
"3-5","\(\mathbf{193.00}\)","\(\mathbf{113.00}\)"
"3-6","\(\mathbf{544.00}\)","\(\mathbf{113.00}\)"
"3-7","\(\mathbf{781.00}\)","\(\mathbf{113.00}\)"
"3-8","\(\mathbf{478.00}\)","\(\mathbf{113.00}\)"
"4-5","\(\mathbf{548.00}\)","\(\mathbf{113.00}\)"
"4-6","\(\mathbf{197.00}\)","\(\mathbf{113.00}\)"
"4-7","40.00","113.00"
"4-8","\(\mathbf{263.00}\)","\(\mathbf{113.00}\)"
"5-6","\(\mathbf{351.00}\)","\(\mathbf{113.00}\)"
"5-7","\(\mathbf{589.00}\)","\(\mathbf{113.00}\)"
"5-8","\(\mathbf{285.00}\)","\(\mathbf{113.00}\)"
"6-7","\(\mathbf{237.00}\)","\(\mathbf{113.00}\)"
"6-8","66.00","113.00"
"7-8","\(\mathbf{303.00}\)","\(\mathbf{113.00}\)"
