"","Obs.","Crit."
"1-2","38.00","113.00"
"1-3","\(\mathbf{300.00}\)","\(\mathbf{113.00}\)"
"1-4","\(\mathbf{498.00}\)","\(\mathbf{113.00}\)"
"1-5","\(\mathbf{234.00}\)","\(\mathbf{113.00}\)"
"1-6","\(\mathbf{231.00}\)","\(\mathbf{113.00}\)"
"1-7","\(\mathbf{409.00}\)","\(\mathbf{113.00}\)"
"1-8","\(\mathbf{133.00}\)","\(\mathbf{113.00}\)"
"2-3","\(\mathbf{262.00}\)","\(\mathbf{113.00}\)"
"2-4","\(\mathbf{536.00}\)","\(\mathbf{113.00}\)"
"2-5","\(\mathbf{196.00}\)","\(\mathbf{113.00}\)"
"2-6","\(\mathbf{269.00}\)","\(\mathbf{113.00}\)"
"2-7","\(\mathbf{447.00}\)","\(\mathbf{113.00}\)"
"2-8","\(\mathbf{171.00}\)","\(\mathbf{113.00}\)"
"3-4","\(\mathbf{797.00}\)","\(\mathbf{113.00}\)"
"3-5","66.00","113.00"
"3-6","\(\mathbf{530.00}\)","\(\mathbf{113.00}\)"
"3-7","\(\mathbf{709.00}\)","\(\mathbf{113.00}\)"
"3-8","\(\mathbf{432.00}\)","\(\mathbf{113.00}\)"
"4-5","\(\mathbf{731.00}\)","\(\mathbf{113.00}\)"
"4-6","\(\mathbf{267.00}\)","\(\mathbf{113.00}\)"
"4-7","88.00","113.00"
"4-8","\(\mathbf{365.00}\)","\(\mathbf{113.00}\)"
"5-6","\(\mathbf{464.00}\)","\(\mathbf{113.00}\)"
"5-7","\(\mathbf{643.00}\)","\(\mathbf{113.00}\)"
"5-8","\(\mathbf{366.00}\)","\(\mathbf{113.00}\)"
"6-7","\(\mathbf{178.00}\)","\(\mathbf{113.00}\)"
"6-8","98.00","113.00"
"7-8","\(\mathbf{277.00}\)","\(\mathbf{113.00}\)"
