"","Obs.","Crit."
"1-2","6.00","113.00"
"1-3","\(\mathbf{171.00}\)","\(\mathbf{113.00}\)"
"1-4","84.00","113.00"
"1-5","\(\mathbf{117.00}\)","\(\mathbf{113.00}\)"
"1-6","\(\mathbf{121.00}\)","\(\mathbf{113.00}\)"
"1-7","\(\mathbf{375.00}\)","\(\mathbf{113.00}\)"
"1-8","\(\mathbf{349.00}\)","\(\mathbf{113.00}\)"
"2-3","\(\mathbf{176.00}\)","\(\mathbf{113.00}\)"
"2-4","89.00","113.00"
"2-5","\(\mathbf{123.00}\)","\(\mathbf{113.00}\)"
"2-6","\(\mathbf{126.00}\)","\(\mathbf{113.00}\)"
"2-7","\(\mathbf{381.00}\)","\(\mathbf{113.00}\)"
"2-8","\(\mathbf{355.00}\)","\(\mathbf{113.00}\)"
"3-4","87.00","113.00"
"3-5","54.00","113.00"
"3-6","50.00","113.00"
"3-7","\(\mathbf{205.00}\)","\(\mathbf{113.00}\)"
"3-8","\(\mathbf{179.00}\)","\(\mathbf{113.00}\)"
"4-5","33.00","113.00"
"4-6","37.00","113.00"
"4-7","\(\mathbf{292.00}\)","\(\mathbf{113.00}\)"
"4-8","\(\mathbf{265.00}\)","\(\mathbf{113.00}\)"
"5-6","4.00","113.00"
"5-7","\(\mathbf{258.00}\)","\(\mathbf{113.00}\)"
"5-8","\(\mathbf{232.00}\)","\(\mathbf{113.00}\)"
"6-7","\(\mathbf{254.00}\)","\(\mathbf{113.00}\)"
"6-8","\(\mathbf{228.00}\)","\(\mathbf{113.00}\)"
"7-8","26.00","113.00"
