"","Obs.","Crit."
"1-2","45.00","85.00"
"1-3","\(\mathbf{250.00}\)","\(\mathbf{85.00}\)"
"1-4","\(\mathbf{242.00}\)","\(\mathbf{85.00}\)"
"1-5","\(\mathbf{215.00}\)","\(\mathbf{85.00}\)"
"1-6","\(\mathbf{235.00}\)","\(\mathbf{85.00}\)"
"1-7",NA,NA
"1-8",NA,NA
"2-3","\(\mathbf{205.00}\)","\(\mathbf{85.00}\)"
"2-4","\(\mathbf{287.00}\)","\(\mathbf{85.00}\)"
"2-5","\(\mathbf{170.00}\)","\(\mathbf{85.00}\)"
"2-6","\(\mathbf{280.00}\)","\(\mathbf{85.00}\)"
"2-7",NA,NA
"2-8",NA,NA
"3-4","\(\mathbf{492.00}\)","\(\mathbf{85.00}\)"
"3-5","35.00","85.00"
"3-6","\(\mathbf{485.00}\)","\(\mathbf{85.00}\)"
"3-7",NA,NA
"3-8",NA,NA
"4-5","\(\mathbf{457.00}\)","\(\mathbf{85.00}\)"
"4-6","7.00","85.00"
"4-7",NA,NA
"4-8",NA,NA
"5-6","\(\mathbf{450.00}\)","\(\mathbf{85.00}\)"
"5-7",NA,NA
"5-8",NA,NA
"6-7",NA,NA
"6-8",NA,NA
"7-8",NA,NA
